Wrong,Correct
ндеюсь мамуля меня простит за мое вранье и обман.,надеюсь мамуля меня простит за мое вранье и обман
"не позволяй всяким идиотищам портить себе настрой, ведь их так много, а хорошего настроения всегда нехватка )",не позволяй всяким идиотищам портить себе настрой ведь их так много а хорошего настроения всегда нехватка
сппать аккурат в семь захотелось: ) ) ) блин!,спать аккурат в семь захотелось блин
"а мальчик-то симпотичный, смуглый, черноглазый...",а мальчик-то симпатичный смуглый черноглазый
"определенно, определенно новый год нужно праздновать с друзьями.",определенно определенно новый год нужно праздновать с друзьями
ленится ни в коем случае нельзя.,ленится ни в коем случае нельзя
погкуляем летом обязаательно!,погуляем летом обязательно
послезафтра - классная вечерняя туссовка на набережной.,послезавтра классная вечерняя тусовка на набережной
отркыла утром окна и оставила их открытыми на целый день.,открыла утром окна и оставила их открытыми на целый день
обесчанные новости.,обещанные новости
вобщем иностранцы 3 курс - дети вообще в массе своей элитные как в социальном так и в интеллектуальном плане.,в общем иностранцы 3 курс дети вообще в массе своей элитные как в социальном так и в интеллектуальном плане
четвртая вообще меня не возрадовала.,четвертая вообще меня не возрадовала
"влюбом случае я не думаю что ты имел ввиду именно это, может перефразируеш?",в любом случае я не думаю что ты имел в виду именно это может перефразируешь
да только прибежала невесть откуда - из подпола понятно ( то есть из подземного царства ) - шустрая мышка.,да только прибежала невесть откуда из подпола понятно то есть из подземного царства шустрая мышка
"отсановились на совместном походе в театр, типа это моя инициатива.",остановились на совместном походе в театр типа это моя инициатива
"вот сейчас с родителями собираемся к нему в гости, возник вопрос что ему подарить.",вот сейчас с родителями собираемся к нему в гости возник вопрос что ему подарить
"месяц не сидела за рулем, наконец еду...",месяц не сидела за рулем наконец еду
птому что невозможно добровольно отдать желание жить.,потому что невозможно добровольно отдать желание жить
"некторые из нас могут со временем начать делиться сокровенным с девочками-подругами, но первый поцелуй...",некоторые из нас могут со временем начать делиться сокровенным с девочками-подругами но первый поцелуй
ира скинь номер аськи сво пожалуйсто да и смс написать можна!!!,ира скинь номер аськи свой пожалуйста да и смс написать можно
"это было настолько душевно, что порой мне кажется жаль, что уже так с ним не поговорить.",это было настолько душевно что порой мне кажется жаль что уже так с ним не поговорить
"а дальше в гости к батьке, потом на незалежную и можт еще в молдавию.",а дальше в гости к батьке потом на незалежную и может еще в молдавию
"наверное надпись была сделана с любовью, и вся любовь ушла только в слово...",наверное надпись была сделана с любовью и вся любовь ушла только в слово
очеренданя дурацкая жж-игра.,очередная дурацкая жж-игра
расчитаны на разный уровень подготовки и разный возраст.,рассчитаны на разный уровень подготовки и разный возраст
только из-за него стоит сходить.,только из-за него стоит сходить
"развела в воде, гадость редкая, но ему и она понравилась, смолотил больше, чем нужно для первого раза.",развела в воде гадость редкая но ему и она понравилась смолотил больше чем нужно для первого раза
"в 1635 году маньчжурский хан обнаружил, что его солдаты продают собственное оружие в обмен на табак.",в 1635 году маньчжурский хан обнаружил что его солдаты продают собственное оружие в обмен на табак
"короче, красотка та еще, и это все счастье держалось и не спадало с моего лица в течение часов так двенадцати.",короче красотка та еще и это все счастье держалось и не спадало с моего лица в течение часов так двенадцати
"как известно каждому, одесса - невероятно крута.",как известно каждому одесса невероятно крута
"этот щенок йорка ( см. ниже ) оказался на станции отлова животных в малаге и был бы усыплен, если бы финны его отуда не вызволили.",этот щенок йорка см ниже оказался на станции отлова животных в малаге и был бы усыплен если бы финны его оттуда не вызволили
"помилуйте, боги, уставших кого-то любить.",помилуйте боги уставших кого-то любить
разочарование я отмел сразу - разрушить все надежды последнего полугода это слишком.,разочарование я отмел сразу разрушить все надежды последнего полугода это слишком
недаво стала снова ловить от ксюхи запах молока.,недавно стала снова ловить от ксюхи запах молока
"во-вторых, попытки народных демонстраций, которые распространились не только географически, но и затронули разные социально-экономические классы.",во-вторых попытки народных демонстраций которые распространились не только географически но и затронули разные социально-экономические классы
этот фильм лучшее лекарство от подобных разговоров.,этот фильм лучшее лекарство от подобных разговоров
"короче, если ктото видел мое потерявшееся чудо, шлите его ко мне !!!",короче если кто-то видел мое потерявшееся чудо шлите его ко мне
"пришла в офис в чуть более легком варианте, чем традиционная моя одежда.",пришла в офис в чуть более легком варианте чем традиционная моя одежда
"ранее сообщалось, что душанбе настаивает на заключении договора сроком на 10, 20 или 29 лет, но никак не на 49.",ранее сообщалось что душанбе настаивает на заключении договора сроком на 10 20 или 29 лет но никак не на 49
"предыдущий день, первое декабря сего года был для меня полон событий и смены эмоций...",предыдущий день первое декабря сего года был для меня полон событий и смены эмоций
опсомания - првязанность к определенному блюду.,опсомания привязанность к определенному блюду
"много позже, когдя я его увидел, я решил, что из него можно сделать хорошую детскую книгу.",много позже когда я его увидел я решил что из него можно сделать хорошую детскую книгу
"папиломавирусы вызывают дисплазии шейки матки, что может стать причиной рака, они приводят к росту кондилом половых органов, кондилом мочевых путей.",папилломавирусы вызывают дисплазии шейки матки что может стать причиной рака они приводят к росту кондилом половых органов кондилом мочевых путей
любое движение - это прогресс.,любое движение это прогресс
"потому как то, что ты перечислил здеся, это все правда, естессно, но это все хрень по сравнению с семейной жизнью.",потому как то что ты перечислил здесь это все правда естественно но это все хрень по сравнению с семейной жизнью
прияного аппетита.,приятного аппетита
""" за трактором шагом марш "" прокаркал коммендант и резво вскочил на подножку машины.",за трактором шагом марш прокаркал комендант и резво вскочил на подножку машины
"хотя хуже, чем на физике недели две-три назад вряд ли будет.",хотя хуже чем на физике недели две-три назад вряд ли будет
"я думала, кстате, что даже у маленбких утят перья не волосатые...",я думала кстати что даже у маленьких утят перья не волосатые
"если ваша работа связана с общением, около вас всегда должны быть 3 цветка ириса в высокой, узкой вазе.",если ваша работа связана с общением около вас всегда должны быть 3 цветка ириса в высокой узкой вазе
проавцы просто ацки выводят из себя.,продавцы просто адски выводят из себя
"сегдьня закончил уборку всех записей в "" личное ""...",сегодня закончил уборку всех записей в личное
"да и ваще мы памрем, и не каких предыдущих-оследующих жизненй не будет...",да и вообще мы помрем и никаких предыдущих-последующих жизней не будет
"я и так в платье похожа на праздничный тортик, теперь я только и могу, что улыбаться мстительно тетечке с пирожками.",я и так в платье похожа на праздничный тортик теперь я только и могу что улыбаться мстительно тетечке с пирожками
"я вот как раз про это хотела спросить, отдельным постом, но раз уж разговор зашел...",я вот как раз про это хотела спросить отдельным постом но раз уж разговор зашел
паталогически не умеют принимать решения,патологически не умеют принимать решения
"миллионов не дарил, но жить помогал, пока на ноги не встала.",миллионов не дарил но жить помогал пока на ноги не встала
"пожалайте мне удачи, пожалуйста!",пожелайте мне удачи пожалуйста
познакомиись со всеми барменами на нашей улочке.,познакомились со всеми барменами на нашей улочке
представитьте excel - если бы каждую функцию пришлось скачивать и устанавливать отдельно.,представьте excel если бы каждую функцию пришлось скачивать и устанавливать отдельно
оба с задумчивым видом курят трубки и ведут беседу.,оба с задумчивым видом курят трубки и ведут беседу
"ланьпрекрасное и пугливое создание, грациозное в своих плавных и осторожных движениях.",лань прекрасное и пугливое создание грациозное в своих плавных и осторожных движениях
мы слушали ее за кулисами какой-то площадки.,мы слушали ее за кулисами какой-то площадки
приварикозе вен нижних конечностей появились синяки,при варикозе вен нижних конечностей появились синяки
"я незнаю почему, может это перед концом света но вселенная в этом году решила выдать мне компенсацию за все годы проведенные в родном городе в виде путешествий к центрам моей родины - москву летом и питер осенью...",я не знаю почему может это перед концом света но вселенная в этом году решила выдать мне компенсацию за все годы проведенные в родном городе в виде путешествий к центрам моей родины москву летом и питер осенью
вот что за чудо изображено на обложке книги?,вот что за чудо изображено на обложке книги
ну как же без дочери.,ну как же без дочери
"попадлись также привлекательные, на мой взгляд, "" закусочные "".",попадались также привлекательные на мой взгляд закусочные
"сьездил в центр, купил билет на дельфина ( касса в переходе на углу со стороны больницы )",съездил в центр купил билет на дельфина касса в переходе на углу со стороны больницы
"разделеннный на две части рекой, представляет из себя струю и новую часть.",разделенный на две части рекой представляет из себя старую и новую часть
"нмного думаю о том банальном, что если человек "" твой "" - он непременно вернется, так или иначе, рано или поздно.",немного думаю о том банальном что если человек твой он непременно вернется так или иначе рано или поздно
да и дел поважнее у меня сейчас хватает.,да и дел поважнее у меня сейчас хватает
"а если серьезно, настраивайся, что все будет хорошо.",а если серьезно настраивайся что все будет хорошо
толькго он помогает и решает все вопросы!,только он помогает и решает все вопросы
"вообще, мамалыга имеет более древние корни - в докукурузные времена по той же технологии варили пшенку.",вообще мамалыга имеет более древние корни в докукурузные времена по той же технологии варили пшенку
"я одно время засыпала под "" мастера и маргариту "".",я одно время засыпала под мастера и маргариту
"это пособие помагает развивать речь и учиться пересказывать тексты, как опираясь на дополнительные вопросы, так и только на свою память.",это пособие помогает развивать речь и учиться пересказывать тексты как опираясь на дополнительные вопросы так и только на свою память
ты начинаешь думать а што неплохо можно и тут жить ),ты начинаешь думать а что неплохо можно и тут жить
смушение одолевает меня.,смущение одолевает меня
конечно хочеться назвать их имена.,конечно хочется назвать их имена
"корпарация ibm поделилась информацией о выпущенном процике z196, который выступает в роли чипа, эксплуатируемого в стандартном режиме на мега пиковой частоте.",корпорация ibm поделилась информацией о выпущенном процике z196 который выступает в роли чипа эксплуатируемого в стандартном режиме на мегапиковой частоте
"ну да ничо, пять дней и снова пятницца",ну да ничего пять дней и снова пятница
изза реального запарного периода в4ера был первый ве4ер когда села за комп с момента нашего прошлого сеанса.,из-за реального запарного периода вчера был первый вечер когда села за комп с момента нашего прошлого сеанса
полный текст статьи об этом исследовании можно найти на сайте журнала nature.,полный текст статьи об этом исследовании можно найти на сайте журнала nature
напрситесь на дачу к друзьям.,напроситесь на дачу к друзьям
оказуеться в книгомире седня есть -- купил и уже главы три прочитал...,оказывается в книгомире сегодня есть купил и уже главы три прочитал
как установить веб камеру чтобы общаться через однаклассники,как установить веб-камеру чтобы общаться через одноклассники
подойтите ко мне.,подойдите ко мне
"поселеия представляют опасность только для людей, которые говорят: "" мне плевать, что делают арабы, а вот от евреев я требую исключительной порядочности "".",поселения представляют опасность только для людей которые говорят мне плевать что делают арабы а вот от евреев я требую исключительной порядочности
террорестический акт в лондоне.,террористический акт в лондоне
"я рисовал очередной чертеж ( который надо было еще недели две назад сдать ); естесственно это не занимает весь день, но у таких лентяев как я это занимает недели )",я рисовал очередной чертеж который надо было еще недели две назад сдать естественно это не занимает весь день но у таких лентяев как я это занимает недели
"ктомуже многие люди смотрят аниме сутками, и читать сутками субтитру неоч хочу.",к тому же многие люди смотрят аниме сутками и читать сутками субтитры не очень хочу
и животная суть не позволяет им не занять место старшего.,и животная суть не позволяет им не занять место старшего
скачатьпрограмму для бесплатных подарков в контакте,скачать программу для бесплатных подарков в контакте
проффессиональные средства для отбеливания зубов,профессиональные средства для отбеливания зубов
"какя она была, эта уходящая осень, эта грустная незнакомка в длинном плаще и берете?",какая она была эта уходящая осень эта грустная незнакомка в длинном плаще и берете
"страртапу нужны основатели, но не очень-то нужны сотрудники (",стартапу нужны основатели но не очень-то нужны сотрудники
"он отметил, что летом ему это еще не удалось толком сделать из-за череды кризисных ситуаций, передает телеканал sky news.",он отметил что летом ему это еще не удалось толком сделать из-за череды кризисных ситуаций передает телеканал sky news
"мачовсе местного производства, то есть к отдыхающим отношения не имеют.",мачо все местного производства то есть к отдыхающим отношения не имеют
"в принципе, ничего менять не буду.",в принципе ничего менять не буду
соотвественно дома у меня книги везде и как следствие катострофически не хватает места,соответственно дома у меня книги везде и как следствие катастрофически не хватает места
в ярославской области повышается стоимость проезда в пригородных поездах,в ярославской области повышается стоимость проезда в пригородных поездах
"и неудобно уже другой кофе брать, не хочется их путать, а то ведь в центре города, сколько народу к ним заходит, поди всех по имени запомни и кто што пьет.",и неудобно уже другой кофе брать не хочется их путать а то ведь в центре города сколько народу к ним заходит поди всех по имени запомни и кто что пьет
"при достижении загустения соуса, добавляем галушки.",при достижении загустения соуса добавляем галушки
"часто мы сталкиваемся с каскадом свалившихся на нас неудач и решаем, что так будет продолжаться и дальше.",часто мы сталкиваемся с каскадом свалившихся на нас неудач и решаем что так будет продолжаться и дальше
"причесляя себя к какому-нибудь нарпавлению, увы, приходиться расплачиваться за его "" грехи "".",причисляя себя к какому-нибудь направлению увы приходится расплачиваться за его грехи
"с ним хочется проводить время дома - наедине, забывая все заботы и неприятности.",с ним хочется проводить время дома наедине забывая все заботы и неприятности
шчастье привалило короче,счастье привалило короче
"по сути, интереса никакого моему многотысячному другу не представляет, однако, некоторые один-два человека проникнутся слезами.",по сути интереса никакого моему многотысячному другу не представляет однако некоторые один-два человека проникнутся слезами
"романтические комедии, мелодрамми - это нам вобще не надо.",романтические комедии мелодрамы это нам вообще не надо
"настоящая, теплая, зеленая, солнечная и наконецто можно будет на себя одеть то, что хочется, а не то что надо!",настоящая теплая зеленая солнечная и наконец-то можно будет на себя одеть то что хочется а не то что надо
"журнолисты всегда все нагло, беспардонно переврут.",журналисты всегда все нагло беспардонно переврут
"вспомнил, что с прошлого года остались некторые дела, которые можно было откладывать и далее",вспомнил что с прошлого года остались некоторые дела которые можно было откладывать и далее
"еще ясна научилась обижаться, когда что-то не по ней, и выражает это сразу ооооочень громким криком, начинающимся беззвучным сморщиванием и багровением лица.",еще ясна научилась обижаться когда что-то не по ней и выражает это сразу очень громким криком начинающимся беззвучным сморщиванием и багровением лица
"меня вон зафтра в суд под расписку, сегодня полночи спал с включенной водой - затопил косяк весь )",меня вон завтра в суд под расписку сегодня полночи спал с включенной водой затопил косяк весь
но сегодня так получилось не потомучто я проспала...,но сегодня так получилось не потому что я проспала
ваши однаклассники и однокурсники рядом с вами,ваши одноклассники и однокурсники рядом с вами
"святослав, великий князь киевский, - сын игоря и ольги, в значительной мере правившей при сыне государством ( до ее смерти в 969 году ), поскольку князь все время проводил в военных походах.",святослав великий князь киевский сын игоря и ольги в значительной мере правившей при сыне государством до ее смерти в 969 году поскольку князь все время проводил в военных походах
вобщем было задание - составитьт краткий конспект историистановления спец психологии унас и зарубежем.,в общем было задание составить краткий конспект истории становления спецпсихологии у нас и за рубежом
"понятно, что во всех странах мира они похожи, но вдруг кто не знает, что тут у нас он тоже есть - и очень неплохой.",понятно что во всех странах мира они похожи но вдруг кто не знает что тут у нас он тоже есть и очень неплохой
"она попросила об этом лично меня, и сказала, что ничего из этого ей больше не нужно, и что забрать с собой ничего не сможет.",она попросила об этом лично меня и сказала что ничего из этого ей больше не нужно и что забрать с собой ничего не сможет
нет проблем просто вопрос такой всмысле для тех кто его блога не знает?,нет проблем просто вопрос такой в смысле для тех кто его блога не знает
"я до того вблизи не видела, мне это было неожидано.",я до того вблизи не видела мне это было неожиданно
"могрен уже забит отдыхающими, поэтому базируемся ближе к камням, я сажусь дописывать отчет об отдыхе, гоша купается, потом решает дойти до утеса, с которого отчаянная молодеж прыгает в море.",могрен уже забит отдыхающими поэтому базируемся ближе к камням я сажусь дописывать отчет об отдыхе гоша купается потом решает дойти до утеса с которого отчаянная молодежь прыгает в море
не могу попасть на страничку в контакте чтото с системой подскажите,не могу попасть на страничку в контакте что-то с системой подскажите
"да и вобще, усы иметь-  смелый шаг!",да и вообще усы иметь смелый шаг
"один букет стоит рядом с кроватью, вся комната наполнена цветочным ароматом...",один букет стоит рядом с кроватью вся комната наполнена цветочным ароматом
"здесь часто проводятся различные выставки, посвященные современному искусству, фотографии и музыкальной тематике.",здесь часто проводятся различные выставки посвященные современному искусству фотографии и музыкальной тематике
схходили на новый кошмар на улице вязов.,сходили на новый кошмар на улице вязов
"когда австpалийские готы добpались, наконец, до италии, они устали от гpабежа и нуждались в отдыхе.",когда австpалийские готы добpались наконец до италии они устали от гpабежа и нуждались в отдыхе
"постарайтесь встать сразу же после того, как прозвонил будильник, раскройте окна, сделайте легкую зарядку.",постарайтесь встать сразу же после того как прозвонил будильник раскройте окна сделайте легкую зарядку
проиошли поистине революционные изменения в личной жизни и подрос скилл рабочий.,произошли поистине революционные изменения в личной жизни и подрос скилл рабочий
"поручение же федотову взять ситуацию с музеем под контроль смотрится странно, т.к. нет никаких сомнений, что он и без того опекает данный проект с самого начала.",поручение же федотову взять ситуацию с музеем под контроль смотрится странно т.к. нет никаких сомнений что он и без того опекает данный проект с самого начала
радикальные инновационные проекты предлагают разрубить этот узел переориентацией школы на своего заказчика.,радикальные инновационные проекты предлагают разрубить этот узел переориентацией школы на своего заказчика
"предположительная цена клиентской базы, если она ведется, что бывает крайне редко: 240 000 рублей",предположительная цена клиентской базы если она ведется что бывает крайне редко 240 000 рублей
"мужык был в транче и тихо повторял - "" меня в городе небыло квартира закрыта была...",мужик был в трансе и тихо повторял меня в городе не было квартира закрыта была
а посмотреть ой как хочеться ),а посмотреть ой как хочется
"плюс хаус мьюзик - не мое; еще хореограф седня меня взбесила - шажочки, прыжочки, еще разочек, тьфу.",плюс хаус мьюзик не мое еще хореограф сегодня меня взбесила шажочки прыжочки еще разочек тьфу
"те, кто был седня в универе, расскажите, че там происходит.",те кто был сегодня в универе расскажите что там происходит
"с людьми уже давно развела жизнь или ты даже и не знаешь их совсем, а тут почти вся их жизнь - словно на ладони, будто интереснейший роман читаешь.",с людьми уже давно развела жизнь или ты даже и не знаешь их совсем а тут почти вся их жизнь словно на ладони будто интереснейший роман читаешь
перед ними бабулька с вооот таким пакетом разных конфет.,перед ними бабулька с вот таким пакетом разных конфет
"кстате, из 4х фоток, что ты сделала: 1-я: отрезан один кусочек пальца ноги 2-я: отрезаны ноги и кусочек макушки головы 3-я: отрезаны первые фалаги пальцев левой руки 4-я: ничего не отрезано, но брюки смотряться плохо, и освещение не с той стороны...",кстати из 4-х фоток что ты сделала 1-я отрезан один кусочек пальца ноги 2-я отрезаны ноги и кусочек макушки головы 3-я отрезаны первые фаланги пальцев левой руки 4-я ничего не отрезано но брюки смотрятся плохо и освещение не с той стороны
удаплить страницу в одноклассниках,удалить страницу в одноклассниках
отпуслили аж в 3 часа с информатики...,отпустили аж в 3 часа с информатики
с плато был вынужден вернуться на дорогу изза сильного обстрела из танковых и орудий гаубичного калибра.,с плато был вынужден вернуться на дорогу из-за сильного обстрела из танковых и орудий гаубичного калибра
"в такие дни ничегонехотения лушче всего идти гулять, голова проветрится и с утра с удвоенной силой захочется работать.",в такие дни ничегонехотения лучше всего идти гулять голова проветрится и с утра с удвоенной силой захочется работать
вчера на искусствоведческой сборке услышала два замечательных выражения от ученых дам:,вчера на искусствоведческой сборке услышала два замечательных выражения от ученых дам
и серце мое уязвлено стало - он очень недобрый человек.,и сердце мое уязвлено стало он очень недобрый человек
"а я когда стрелял, знал, что это он, но подумал, что далеко и никто не может заподозрить меня в том, что я его убил специально...",а я когда стрелял знал что это он но подумал что далеко и никто не может заподозрить меня в том что я его убил специально
отбеливанее зубов от курения,отбеливание зубов от курения
"однао лбви куда более серьезной, чем у анакреонта, скорее похожей на лирику сапфо.",однако любви куда более серьезной чем у анакреонта скорее похожей на лирику сапфо
"то ли настроение у нее было не то обычно, то ли что-то поменялось, вобщем общалась последние 2 раза она со мной очень мило, в среду вот пойду выписываться.",то ли настроение у нее было не то обычно то ли что-то поменялось в общем общалась последние 2 раза она со мной очень мило в среду вот пойду выписываться
обажаю кривлятся перед фотообъективом в компании приятных девушек.,обожаю кривляться перед фотообъективом в компании приятных девушек
"прлку мировых религий, основанных на передернутых умозаключениях отдельных индивидуумов, прибыло.",полку мировых религий основанных на передернутых умозаключениях отдельных индивидуумов прибыло
"бывают такие моменты, когда хочеться зделать что-то сумасшедшее...",бывают такие моменты когда хочется сделать что-то сумасшедшее
"и что бы было, если его не нашли, а он с нами поехал.",и что бы было если его не нашли а он с нами поехал
кому мы доверяем тайны?,кому мы доверяем тайны
"сказали, что плохо, но не сказали почему.",сказали что плохо но не сказали почему
скоро приедет мое солнце и будем смотреть фильм.,скоро приедет мое солнце и будем смотреть фильм
самоодостаточность как правило ассоциируется с субъектностью,самодостаточность как правило ассоциируется с субъектностью
разьве ты не хочешь быть гламурненьким?,разве ты не хочешь быть гламурненьким
